Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
220840 Piripiri;21;170;246;157;135;112;173;188;225;169;146;88;48;38;33;26;21;32
220850 Porto;2;8;14;8;6;5;6;3;7;6;5;4;2;1;0;1;1;0
220855 Porto Alegre do Piauí;1;4;4;3;1;1;1;5;1;2;1;1;0;0;0;0;0;0
220860 Prata do Piauí;0;3;2;4;1;2;2;4;1;4;0;1;2;0;1;1;0;0
220865 Queimada Nova;0;6;6;3;3;10;11;9;2;6;4;3;0;0;0;1;0;0
220870 Redenção do Gurguéia;0;1;3;2;1;2;1;1;2;2;2;2;1;0;1;0;0;0
220880 Regeneração;4;29;18;22;19;15;28;25;25;18;20;22;15;6;2;4;2;1
220885 Riacho Frio;0;1;0;0;0;1;1;2;1;0;0;0;1;0;0;0;0;0
220887 Ribeira do Piauí;1;5;3;1;1;1;4;1;0;0;0;0;1;0;0;0;0;0
220890 Ribeiro Gonçalves;3;6;18;3;9;7;11;10;14;9;4;4;2;2;1;0;0;1
220900 Rio Grande do Piauí;3;3;4;6;6;2;8;7;7;8;9;7;2;1;4;1;0;0
220910 Santa Cruz do Piauí;0;5;4;6;3;1;7;5;2;4;4;1;0;2;3;0;0;0
220915 Santa Cruz dos Milagres;0;0;10;4;5;0;3;8;3;4;8;10;2;1;0;0;0;0
220920 Santa Filomena;0;18;16;9;10;3;14;9;11;12;4;1;1;2;1;0;0;0
220930 Santa Luz;0;2;2;0;3;4;13;11;9;0;3;6;0;1;0;0;0;1
220935 Santana do Piauí;3;4;4;4;1;2;3;2;2;0;2;0;0;0;0;0;0;1
220937 Santa Rosa do Piauí;0;0;0;0;0;0;2;2;2;4;1;1;0;2;1;0;0;0
220940 Santo Antônio de Lisboa;1;8;5;3;1;0;7;8;4;1;0;0;1;1;0;1;1;2
220945 Santo Antônio dos Milagres;0;0;6;1;1;1;4;4;2;4;4;1;0;2;0;0;0;0
220950 Santo Inácio do Piauí;0;3;3;0;0;6;1;2;3;3;1;2;1;0;0;1;0;0
220955 São Braz do Piauí;0;2;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0
220960 São Félix do Piauí;0;6;6;7;1;1;2;4;3;3;1;5;1;3;0;0;1;2
220965 São Francisco de Assis do Piauí;0;1;1;4;1;2;1;3;3;4;0;1;0;1;1;0;0;0
220970 São Francisco do Piauí;2;4;1;0;0;1;4;2;4;5;1;2;0;0;3;0;0;1
220975 São Gonçalo do Gurguéia;0;2;1;3;1;0;1;2;2;3;1;0;1;0;0;0;0;0
220980 São Gonçalo do Piauí;4;19;17;9;12;10;17;11;9;3;13;4;1;2;1;1;0;1
220985 São João da Canabrava;0;3;0;1;2;0;2;1;1;0;0;0;0;0;0;0;0;0
220987 São João da Fronteira;0;1;2;0;0;1;2;0;2;1;2;1;0;1;0;0;0;0
220990 São João da Serra;1;3;3;3;4;5;4;3;3;3;1;1;1;1;0;1;1;0
220995 São João da Varjota;0;0;2;1;0;0;0;1;2;0;2;1;0;0;0;0;0;0
220997 São João do Arraial;1;1;5;5;1;3;0;0;7;4;1;2;1;0;0;0;0;0
221000 São João do Piauí;3;48;57;45;34;26;34;54;69;57;23;27;16;10;8;10;2;11
221005 São José do Divino;0;3;7;2;1;2;3;7;2;3;4;1;1;0;2;0;0;0
221010 São José do Peixe;0;0;1;0;1;0;1;1;0;0;2;2;0;0;0;0;0;0
221020 São José do Piauí;2;2;3;0;3;4;5;3;6;1;0;4;0;1;1;0;0;0
221030 São Julião;1;2;10;8;4;3;9;4;5;6;3;4;3;5;1;0;0;0
221035 São Lourenço do Piauí;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1
221037 São Luis do Piauí;0;2;2;1;0;1;0;2;1;0;2;0;0;0;0;0;0;0
221038 São Miguel da Baixa Grande;0;2;4;2;3;1;1;4;2;3;1;1;0;0;0;0;1;1
221039 São Miguel do Fidalgo;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
221040 São Miguel do Tapuio;2;12;20;16;15;9;12;9;14;16;21;7;5;2;1;2;2;0
221050 São Pedro do Piauí;5;15;12;17;10;10;10;17;13;13;3;5;4;5;4;2;1;3
221060 São Raimundo Nonato;5;45;62;53;33;32;53;81;82;90;43;42;30;22;13;2;4;7
221062 Sebastião Barros;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
221063 Sebastião Leal;13;48;64;42;40;42;52;66;69;48;62;39;31;16;16;6;11;1
221065 Sigefredo Pacheco;1;5;13;2;2;2;3;7;3;3;2;1;0;3;0;0;0;0
221070 Simões;1;7;16;10;10;11;11;17;11;11;13;11;8;2;1;1;2;1
221080 Simplício Mendes;2;9;16;21;12;15;20;19;21;23;13;14;10;5;7;4;0;3
221090 Socorro do Piauí;1;1;2;4;1;0;2;1;4;1;1;0;1;1;2;0;0;0
221093 Sussuapara;0;19;9;5;3;3;15;15;10;5;1;1;1;0;0;0;0;1
221095 Tamboril do Piauí;0;0;1;0;0;1;0;1;2;2;0;0;0;0;0;0;0;0
221097 Tanque do Piauí;0;0;0;3;0;0;0;2;1;1;0;1;0;0;0;0;0;0
221100 Teresina;2762;13209;14467;11316;9045;10573;14912;16060;17140;14831;11449;8392;6860;5657;4500;3423;2367;3547
221110 União;21;95;105;61;46;63;106;81;84;94;91;49;56;25;22;13;4;8
221120 Uruçuí;23;88;107;100;56;93;131;149;146;104;66;47;28;26;15;6;1;7
221130 Valença do Piauí;8;39;48;49;25;19;28;52;65;45;32;28;22;21;16;6;2;5
221135 Várzea Branca;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0
221140 Várzea Grande;0;5;7;8;22;5;8;10;15;19;28;21;17;11;14;4;2;1
221150 Vera Mendes;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
221160 Vila Nova do Piauí;1;0;4;1;1;1;1;4;1;2;1;1;0;0;0;0;0;0
221170 Wall Ferraz;1;0;1;1;0;1;1;0;2;0;2;0;0;0;0;0;0;0
230010 Abaiara;2;29;33;25;18;16;28;25;40;29;14;12;8;6;5;2;3;2
230015 Acarape;5;10;13;6;7;9;8;20;15;18;6;7;5;4;3;3;2;3
230020 Acaraú;9;36;49;38;39;46;51;95;107;71;58;45;28;21;15;10;12;22
230030 Acopiara;6;19;21;19;9;16;24;29;42;31;15;14;14;17;18;21;10;15
230040 Aiuaba;0;1;6;1;2;4;4;4;8;2;4;1;1;1;0;1;2;1
230050 Alcântaras;0;2;5;3;1;4;2;6;10;8;1;2;0;1;3;0;1;0
230060 Altaneira;3;4;8;5;4;5;10;8;10;6;3;0;1;1;1;1;1;0
230070 Alto Santo;1;6;13;3;6;6;7;16;19;15;10;6;2;8;6;5;3;6
230075 Amontada;7;22;29;15;13;21;33;48;25;26;26;15;6;4;4;4;5;2
230080 Antonina do Norte;1;1;4;3;3;1;3;2;2;4;3;2;0;0;0;0;1;0
230090 Apuiarés;2;3;5;3;3;3;3;3;3;8;3;3;1;0;1;1;2;0
230100 Aquiraz;75;375;425;332;264;366;477;524;605;465;390;251;213;130;85;76;56;60
230110 Aracati;20;153;204;130;147;163;178;232;247;243;152;103;93;93;59;54;50;68
230120 Aracoiaba;0;14;12;7;3;12;19;18;18;12;13;10;5;3;7;4;2;1
230125 Ararendá;0;0;4;1;2;4;3;2;1;2;2;2;0;0;3;1;0;3
230130 Araripe;1;1;7;10;2;5;8;10;4;13;9;4;3;6;3;2;5;2
230140 Aratuba;3;3;3;5;1;4;3;9;6;5;3;0;1;2;2;1;0;0
230150 Arneiroz;1;1;5;1;2;0;1;6;2;3;2;0;0;1;3;1;1;0
230160 Assaré;3;11;12;10;10;6;24;25;29;19;23;14;7;5;9;9;6;4
230170 Aurora;1;7;8;7;11;6;10;11;30;13;9;4;7;9;12;5;5;5
230180 Baixio;0;1;1;1;0;5;3;2;0;0;1;0;0;0;0;0;0;1
230185 Banabuiú;2;6;18;4;14;10;11;17;7;10;10;4;4;7;3;3;0;4
230190 Barbalha;62;231;308;212;152;220;268;364;328;335;190;112;117;79;78;72;39;83
230195 Barreira;1;13;20;16;17;5;28;25;20;33;14;7;12;8;10;3;4;2
230200 Barro;0;5;19;2;7;9;12;15;13;15;10;6;6;12;4;3;4;7
230205 Barroquinha;0;7;12;9;5;2;9;12;10;7;5;2;3;2;0;0;1;0
230210 Baturité;8;42;46;27;36;37;58;55;79;46;48;41;30;26;16;15;10;30
230220 Beberibe;3;36;42;57;41;32;55;67;63;60;38;40;36;21;11;12;12;20
230230 Bela Cruz;3;9;13;10;7;9;14;20;23;12;4;5;6;3;2;2;2;0
230240 Boa Viagem;4;22;19;21;22;29;35;34;45;43;25;13;16;19;13;8;9;10
230250 Brejo Santo;9;88;124;78;84;65;79;118;135;122;119;57;66;64;68;45;44;60
230260 Camocim;3;27;49;46;25;31;42;71;83;62;48;34;19;34;16;28;13;21
230270 Campos Sales;4;24;17;25;22;22;34;41;57;33;15;21;21;23;19;21;13;24
230280 Canindé;9;74;82;71;56;73;114;113;142;109;84;58;53;45;33;28;17;27
230290 Capistrano;1;2;7;2;10;2;10;7;6;4;4;4;5;6;2;4;1;2
230300 Caridade;1;9;9;12;10;8;5;14;17;11;5;1;4;2;2;1;2;1
230310 Cariré;1;1;11;5;3;4;1;7;7;6;2;2;4;1;6;2;5;1
230320 Caririaçu;10;44;47;24;27;27;42;38;37;41;26;14;19;7;7;7;2;7
230330 Cariús;1;7;5;3;2;2;4;7;9;6;3;2;4;0;3;3;3;1
230340 Carnaubal;0;4;3;1;3;3;4;5;7;4;0;1;2;0;3;0;0;3
230350 Cascavel;30;114;128;109;87;95;169;163;166;167;133;73;72;46;41;35;23;38
230360 Catarina;1;1;2;4;7;3;3;4;6;5;5;1;2;2;2;1;1;2
230365 Catunda;0;1;0;1;0;2;1;1;1;2;0;2;0;1;1;0;0;0
230370 Caucaia;612;2593;2913;2072;1657;2380;3500;3606;3682;2632;1800;1302;974;761;409;268;191;299
230380 Cedro;2;12;28;8;10;12;19;26;30;11;11;14;14;16;13;6;14;12
230390 Chaval;0;2;4;3;2;4;2;2;2;1;3;0;2;0;0;0;1;2
230393 Choró;2;2;5;0;3;0;4;4;5;2;1;1;2;1;0;1;1;2
230395 Chorozinho;5;17;22;19;17;12;28;34;32;37;20;18;12;5;4;2;2;5
230400 Coreaú;0;9;13;7;6;5;11;15;13;8;3;1;8;3;5;3;4;8
230410 Crateús;17;102;164;119;146;134;165;159;218;186;140;95;111;90;87;60;60;89
230420 Crato;105;588;762;592;490;499;759;948;987;866;603;520;443;426;382;322;233;412
230423 Croatá;0;1;1;1;0;3;0;5;2;2;0;1;1;3;1;1;0;1
230425 Cruz;4;18;21;12;7;10;15;26;34;23;14;8;10;9;1;2;3;2
230426 Deputado Irapuan Pinheiro;0;2;0;2;0;1;5;3;3;1;2;2;0;1;0;0;0;0
230427 Ererê;1;0;1;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0
230428 Eusébio;156;931;1133;893;721;839;1129;1366;1629;1583;1114;714;504;315;224;152;97;151
230430 Farias Brito;0;10;18;8;8;6;4;15;15;11;3;6;7;6;1;8;3;2
230435 Forquilha;2;9;17;15;18;17;25;27;26;22;12;9;14;9;4;5;4;4
230440 Fortaleza;6420;29921;37276;30048;27509;37187;52245;56103;60117;54669;40534;30996;26451;21981;17361;14278;11061;17386
230445 Fortim;1;16;19;14;19;10;20;18;24;23;26;8;11;7;4;4;2;2
230450 Frecheirinha;5;12;10;13;6;11;14;29;22;13;17;7;10;5;2;5;4;5
230460 General Sampaio;0;1;1;2;2;3;3;2;3;2;0;1;1;1;2;0;0;1
230465 Graça;0;2;3;1;3;0;2;1;4;4;7;2;0;3;1;2;0;1
230470 Granja;4;15;11;11;12;14;25;25;22;17;15;13;17;6;7;7;8;10
230480 Granjeiro;0;0;2;2;3;0;3;0;5;1;2;0;2;0;0;2;0;0
230490 Groaíras;2;19;23;24;21;14;28;38;44;48;35;18;11;9;5;4;3;4
230495 Guaiúba;13;37;39;29;26;49;63;39;45;37;26;19;5;7;3;3;1;6
230500 Guaraciaba do Norte;3;14;14;13;12;9;19;24;24;20;18;9;12;14;8;6;6;6
230510 Guaramiranga;0;1;0;0;1;2;5;5;4;5;1;8;1;5;1;2;1;1
230520 Hidrolândia;5;7;6;10;3;4;9;13;12;14;9;5;5;4;5;3;3;3
230523 Horizonte;44;196;232;163;139;185;275;330;360;279;177;133;76;42;23;24;7;14
230526 Ibaretama;0;2;2;1;2;5;7;2;4;2;2;0;1;0;0;1;0;1
230530 Ibiapina;0;7;14;8;7;8;20;17;17;19;9;5;6;7;5;6;3;9
230533 Ibicuitinga;1;2;1;6;5;4;4;5;7;4;3;1;0;0;1;0;0;0
230535 Icapuí;1;21;27;18;23;24;21;38;31;30;14;14;9;10;3;3;2;6
230540 Icó;5;37;39;35;45;35;46;63;78;70;53;39;39;34;32;27;20;36
230550 Iguatu;49;258;320;235;223;236;358;430;479;353;247;213;181;167;131;118;103;158
230560 Independência;1;15;15;12;7;14;21;15;25;19;7;11;13;7;11;7;2;10
230565 Ipaporanga;2;4;2;1;6;1;1;3;6;4;0;1;1;1;3;1;1;0
230570 Ipaumirim;1;8;7;4;4;3;6;5;9;5;3;3;4;8;2;3;2;7
230580 Ipu;4;8;18;16;20;16;25;23;35;26;22;18;14;17;15;22;13;20
230590 Ipueiras;2;9;8;10;4;10;14;11;18;11;12;9;7;7;5;8;10;3
230600 Iracema;0;6;9;8;12;5;5;10;12;13;9;3;14;4;7;3;6;9
230610 Irauçuba;0;2;4;4;2;2;1;5;9;7;4;4;5;6;2;3;1;3
230620 Itaiçaba;2;9;8;8;3;4;11;11;12;6;6;0;2;1;0;1;2;3
230625 Itaitinga;99;295;368;234;194;305;454;536;552;329;205;143;95;45;31;11;16;8
230630 Itapagé;2;29;29;16;19;27;46;47;57;51;37;32;20;28;22;7;17;22
230640 Itapipoca;24;141;166;127;109;111;184;212;249;191;135;90;96;78;52;36;33;54
230650 Itapiúna;1;2;6;5;3;5;6;12;5;4;2;6;3;6;1;3;1;2
230655 Itarema;3;9;19;16;14;9;20;20;21;24;14;6;13;2;5;0;0;4
230660 Itatira;1;5;6;6;1;2;10;7;8;7;4;5;1;3;0;1;0;3
230670 Jaguaretama;0;7;8;8;3;13;18;17;15;17;12;8;11;7;3;7;3;1
230680 Jaguaribara;2;4;9;7;10;10;9;13;9;9;13;11;2;3;1;2;3;2
230690 Jaguaribe;5;22;41;33;28;41;48;58;70;66;40;25;35;30;35;28;11;26
230700 Jaguaruana;6;23;42;25;22;16;51;43;58;54;24;21;26;22;15;11;7;11
230710 Jardim;6;14;24;8;20;20;24;28;26;14;14;10;16;17;9;8;7;11
230720 Jati;0;6;13;8;1;5;4;7;6;4;3;1;4;4;2;2;0;3
230725 Jijoca de Jericoacoara;3;8;14;15;9;15;30;21;26;20;19;21;9;12;6;6;0;1
230730 Juazeiro do Norte;434;2064;2260;1642;1354;1962;2691;2899;3059;2391;1717;1162;904;726;544;511;352;498
230740 Jucás;1;12;13;18;11;14;13;18;27;23;11;14;6;2;6;3;4;0
230750 Lavras da Mangabeira;6;16;25;9;13;7;22;19;22;24;16;12;8;10;11;10;2;9
230760 Limoeiro do Norte;20;123;146;138;125;134;156;214;259;228;156;134;90;88;68;57;50;51
230763 Madalena;1;5;5;4;1;6;12;11;13;7;4;5;3;4;1;1;0;1
230765 Maracanaú;512;2298;2896;1993;1764;2210;2855;3245;3551;2841;1761;1175;848;501;283;185;144;176
230770 Maranguape;85;433;429;287;249;269;441;569;600;442;322;187;189;106;99;58;37;71
230780 Marco;4;12;13;12;12;13;16;23;27;16;21;8;13;11;9;2;2;9
230790 Martinópole;0;2;1;1;0;0;0;4;5;2;1;0;0;0;0;3;0;3
230800 Massapê;2;19;12;8;11;19;28;33;23;20;9;13;14;9;16;6;7;16
230810 Mauriti;4;29;39;32;21;8;43;46;51;51;33;19;18;12;12;16;6;7
230820 Meruoca;1;5;9;4;1;7;11;18;11;2;2;4;4;3;1;3;1;4
230830 Milagres;2;21;25;19;29;20;29;50;37;37;26;10;24;15;18;17;7;25
230835 Milhã;1;1;8;2;1;9;5;12;13;9;9;11;10;3;5;4;1;3
230837 Miraíma;0;0;2;2;2;0;1;4;5;1;3;1;1;0;0;0;1;2
230840 Missão Velha;13;50;62;65;29;33;63;79;61;42;31;29;31;20;17;19;17;30
230850 Mombaça;2;9;15;11;12;28;22;29;47;32;24;25;15;16;9;10;8;15
230860 Monsenhor Tabosa;3;2;7;4;7;5;4;13;7;7;2;2;5;6;3;0;1;2
230870 Morada Nova;16;77;58;59;57;92;107;130;114;85;72;52;45;27;18;27;18;41
230880 Moraújo;0;0;0;1;1;2;4;1;1;2;0;1;1;0;0;0;0;1
230890 Morrinhos;0;9;6;4;5;5;6;14;11;3;4;6;6;4;5;4;3;6
230900 Mucambo;0;9;8;3;8;6;14;19;16;10;8;7;7;5;3;5;3;5
230910 Mulungu;1;2;2;7;5;4;6;10;8;2;3;4;3;2;0;1;2;3
230920 Nova Olinda;2;14;17;6;7;4;6;25;18;15;5;4;2;3;2;0;1;3
230930 Nova Russas;2;19;22;21;19;28;41;33;48;44;23;21;22;24;16;10;13;16
230940 Novo Oriente;2;4;12;4;11;11;16;10;12;9;7;5;3;1;2;0;1;4
230945 Ocara;1;8;7;5;4;5;16;12;11;12;2;4;2;9;2;0;0;1
230950 Orós;4;6;10;3;7;7;5;11;18;14;8;5;3;12;6;11;6;4
230960 Pacajus;36;243;319;209;265;233;310;373;390;327;257;162;126;75;45;36;29;42
230970 Pacatuba;110;430;428;286;243;356;507;539;517;367;232;147;110;63;37;24;17;22
230980 Pacoti;0;9;15;6;4;5;9;12;9;10;5;6;3;5;4;2;1;1
230990 Pacujá;0;1;1;1;0;2;0;2;3;2;4;1;2;1;0;2;0;2
231000 Palhano;1;4;5;3;1;2;13;3;8;4;3;2;4;3;1;0;1;0
231010 Palmácia;0;3;6;3;6;2;5;5;6;7;3;5;3;4;1;1;4;2
231020 Paracuru;21;77;109;76;61;63;99;102;112;93;65;35;37;39;26;7;13;19
231025 Paraipaba;10;28;30;34;28;31;51;45;50;43;32;34;23;26;13;9;3;5
231030 Parambu;1;4;4;6;5;7;7;9;18;8;8;6;10;3;10;2;3;4
231040 Paramoti;1;1;2;0;0;2;0;3;5;7;3;3;3;1;0;0;2;1
231050 Pedra Branca;1;6;9;6;16;15;12;20;11;9;9;12;5;5;4;5;4;7
231060 Penaforte;0;1;3;7;0;2;1;7;10;9;1;4;0;1;2;6;1;0
231070 Pentecoste;1;15;24;27;23;14;25;29;55;33;16;20;20;15;9;12;6;15
231080 Pereiro;15;67;60;28;15;56;170;149;126;60;41;21;12;6;8;5;4;2
231085 Pindoretama;7;36;41;24;24;57;59;58;41;36;41;34;18;13;4;6;2;15
231090 Piquet Carneiro;0;5;2;2;2;4;4;5;2;0;5;2;1;1;0;2;1;2
231095 Pires Ferreira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
231100 Poranga;0;3;3;4;4;2;2;3;0;2;0;1;0;1;0;0;2;1
231110 Porteiras;1;15;13;9;4;6;7;17;13;10;5;1;9;1;3;0;4;3
231120 Potengi;0;1;6;8;3;7;3;7;8;13;13;8;7;3;2;1;4;0
231123 Potiretama;0;0;1;0;0;1;0;3;1;4;1;0;2;1;0;2;0;2
231126 Quiterianópolis;0;3;6;3;3;0;2;2;2;2;1;2;4;0;0;1;0;2
231130 Quixadá;20;99;123;116;103;111;174;205;261;163;121;101;80;75;87;54;41;89
231135 Quixelô;1;5;4;3;3;14;3;2;10;3;7;1;3;0;1;2;2;2
231140 Quixeramobim;12;49;54;48;54;53;76;96;120;83;65;57;51;45;25;37;23;26
231150 Quixeré;7;26;26;17;12;10;26;30;35;26;13;9;5;6;7;1;1;1
231160 Redenção;6;26;40;26;16;33;32;50;35;32;22;13;18;13;14;4;5;11
231170 Reriutaba;0;9;7;6;6;0;5;11;12;7;3;7;5;6;6;5;2;3
231180 Russas;24;82;143;107;103;130;172;211;212;189;121;113;90;70;45;48;39;64
231190 Saboeiro;0;2;5;5;3;2;2;3;5;5;3;1;1;1;2;1;2;2
231195 Salitre;0;2;2;3;1;0;2;0;5;2;0;0;0;0;0;0;0;0
231200 Santana do Acaraú;2;12;10;9;11;7;12;22;18;10;10;5;7;13;6;6;5;14
231210 Santana do Cariri;0;8;11;11;8;6;4;13;16;8;9;3;4;3;2;4;3;2
231220 Santa Quitéria;2;15;26;16;12;21;39;37;39;30;27;15;14;16;7;9;10;12
231230 São Benedito;1;22;26;18;22;23;44;74;56;25;35;25;19;18;22;16;10;18
231240 São Gonçalo do Amarante;72;270;346;292;242;321;467;407;413;293;207;119;69;37;12;20;15;8
231250 São João do Jaguaribe;0;2;1;4;0;1;2;3;7;5;2;3;3;2;2;3;4;3
231260 São Luís do Curu;0;10;9;5;6;8;10;7;5;3;4;2;2;2;1;2;3;2
231270 Senador Pompeu;6;14;11;16;8;19;26;26;24;22;16;17;12;13;8;8;10;11
231280 Senador Sá;0;2;1;1;2;0;0;3;4;0;1;1;0;0;0;0;0;0
231290 Sobral;97;559;809;669;601;674;858;1212;1322;1045;717;564;539;459;349;283;227;325
231300 Solonópole;0;5;7;10;7;7;7;18;16;18;7;8;7;9;3;5;7;4
231310 Tabuleiro do Norte;10;33;47;39;23;49;50;66;66;68;49;34;29;24;23;28;16;25
231320 Tamboril;1;2;6;10;5;2;7;4;14;11;8;1;5;5;3;0;2;7
231325 Tarrafas;0;1;1;1;4;1;0;3;1;4;4;0;1;2;1;0;0;0
231330 Tauá;10;37;62;54;31;45;65;93;92;85;53;46;45;35;23;21;18;22
231335 Tejuçuoca;0;0;2;6;1;2;2;2;8;3;0;1;1;0;0;0;0;0
231340 Tianguá;18;89;103;93;79;69;105;147;164;117;93;46;51;50;32;29;17;27
231350 Trairi;7;28;46;41;35;31;49;56;68;36;37;25;11;10;15;7;5;6
231355 Tururu;2;5;6;7;1;7;8;9;11;8;3;4;2;0;1;3;0;1
231360 Ubajara;8;35;45;38;27;27;49;69;78;59;34;27;22;19;13;10;15;21
231370 Umari;0;2;1;2;2;2;1;2;2;3;1;0;1;0;0;0;0;0
231375 Umirim;1;5;4;3;1;8;10;11;5;2;2;2;2;4;2;0;2;1
231380 Uruburetama;0;6;19;7;8;6;9;19;21;16;6;8;6;4;1;5;9;8
231390 Uruoca;0;3;3;2;0;2;5;5;6;1;2;1;1;0;0;0;2;0
231395 Varjota;2;4;9;6;1;4;7;11;9;14;2;4;4;5;4;6;2;3
231400 Várzea Alegre;7;17;22;22;23;17;22;30;36;28;17;15;19;19;18;19;16;27
231410 Viçosa do Ceará;2;6;16;14;12;8;17;19;24;20;13;21;13;9;15;13;16;27
240010 Acari;4;11;19;15;9;7;18;10;29;14;5;15;11;6;7;4;2;5
240020 Açu;23;112;145;134;138;101;171;206;218;202;132;130;110;110;91;66;53;56
240030 Afonso Bezerra;3;4;7;6;8;7;9;10;9;11;8;14;8;3;7;3;3;2
240040 Água Nova;0;0;0;0;0;1;1;0;1;0;2;1;1;0;0;0;0;0
240050 Alexandria;0;6;7;7;10;11;9;5;15;21;10;3;10;9;11;12;7;14
240060 Almino Afonso;0;1;1;2;8;2;5;3;1;4;6;0;2;3;0;1;0;0
240070 Alto do Rodrigues;12;55;95;85;82;55;70;74;131;125;79;60;32;16;13;2;5;2
240080 Angicos;2;16;17;22;19;29;25;38;40;33;26;16;26;21;16;15;4;11
240090 Antônio Martins;0;0;0;0;1;1;3;3;1;4;2;2;1;1;1;0;1;0
240100 Apodi;4;29;30;29;24;17;37;39;52;48;16;17;14;15;10;12;2;8
240110 Areia Branca;10;76;112;118;114;87;107;129;160;170;102;100;65;85;35;32;17;20
240120 Arês;1;17;27;24;32;21;16;18;17;19;18;16;9;13;5;4;1;8
240130 Augusto Severo;3;3;4;10;6;4;8;8;8;9;8;9;6;8;6;7;5;6
240140 Baía Formosa;0;14;17;11;19;8;14;17;22;9;10;9;12;9;1;1;2;1
240145 Baraúna;6;30;23;21;39;29;43;50;51;30;16;19;24;18;2;3;0;0
240150 Barcelona;0;1;7;4;4;2;4;0;6;2;4;7;1;2;1;2;0;2
240160 Bento Fernandes;0;1;3;3;3;4;7;6;6;6;1;1;4;2;0;2;0;1
240165 Bodó;0;3;1;2;2;3;4;2;1;3;0;0;0;0;0;0;0;0
240170 Bom Jesus;3;21;17;7;11;11;19;24;22;16;10;18;9;10;5;3;4;3
240180 Brejinho;4;10;16;12;16;16;10;22;26;16;17;18;14;11;5;8;5;2
240185 Caiçara do Norte;4;5;6;7;8;5;5;8;12;10;7;3;3;2;1;3;2;1
240190 Caiçara do Rio do Vento;2;2;4;1;1;1;6;1;5;3;3;2;2;1;0;0;0;0
240200 Caicó;32;115;195;149;128;143;168;255;319;280;198;141;153;140;102;107;55;95
240210 Campo Redondo;2;5;8;1;5;6;7;16;9;6;4;4;2;6;1;3;1;1
240220 Canguaretama;11;33;55;35;29;29;51;36;55;51;33;20;15;16;10;9;5;6
240230 Caraúbas;5;14;15;18;16;8;11;24;33;23;9;11;9;10;8;3;4;9
240240 Carnaúba dos Dantas;1;5;8;3;7;9;13;10;9;8;15;4;4;4;5;1;3;3
240250 Carnaubais;1;7;10;8;6;7;9;14;12;4;9;4;2;3;2;7;2;1
240260 Ceará-Mirim;34;170;167;187;155;227;290;293;294;275;179;174;152;87;59;46;43;59
240270 Cerro Corá;1;5;10;8;12;5;13;5;18;5;7;8;3;3;0;1;3;1
240280 Coronel Ezequiel;0;1;1;3;2;0;1;2;1;0;0;0;0;0;0;1;1;0
240290 Coronel João Pessoa;0;1;0;0;3;1;1;3;1;2;0;1;1;1;0;1;0;1
240300 Cruzeta;3;4;4;1;6;2;6;4;8;6;4;4;3;2;1;2;2;4
240310 Currais Novos;18;93;118;108;94;96;128;174;166;157;129;71;72;77;58;52;24;40
240320 Doutor Severiano;0;2;1;0;1;0;1;3;2;5;0;1;1;2;0;1;0;0
240325 Parnamirim;593;2668;3352;2773;2581;3026;3816;4335;4806;4601;3485;2858;2520;2069;1531;1114;879;1039
240330 Encanto;1;1;1;3;0;1;1;7;1;0;1;0;0;0;1;0;0;0
240340 Equador;0;3;2;3;4;0;3;0;3;2;1;1;2;0;2;1;1;3
240350 Espírito Santo;3;6;5;5;5;7;9;13;12;12;3;8;8;4;3;1;2;3
240360 Extremoz;61;304;300;215;205;369;473;527;484;377;296;234;200;189;134;87;55;69
240370 Felipe Guerra;1;3;6;1;2;3;9;7;6;4;3;2;3;0;1;0;0;1
240375 Fernando Pedroza;0;2;2;3;1;6;2;1;6;1;1;3;0;3;0;2;0;4
240380 Florânia;2;9;8;7;7;5;8;10;12;5;15;8;6;5;2;1;3;5
240390 Francisco Dantas;0;1;3;0;2;0;2;0;1;2;1;1;0;0;1;0;1;2
240400 Frutuoso Gomes;0;2;1;2;1;1;0;4;7;3;2;0;3;1;1;1;0;0
240410 Galinhos;0;4;5;1;0;1;1;0;4;0;2;2;1;0;0;1;0;0
240420 Goianinha;11;87;104;125;99;96;97;135;128;99;92;59;42;33;27;19;8;16
240430 Governador Dix-Sept Rosado;1;8;12;7;9;12;7;9;14;9;5;8;2;1;2;5;2;0
240440 Grossos;1;4;6;13;10;5;13;21;24;16;11;5;7;7;4;1;3;2
240450 Guamaré;13;43;96;85;60;65;69;87;88;81;49;51;28;12;3;3;4;2
240460 Ielmo Marinho;1;6;2;3;3;5;4;4;7;2;4;5;3;0;0;1;1;0
